filename,canonical_smiles
BNSi.xyz,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)cc3c1n2-c1cc(N2c4ccccc4[Si](c4ccccc4)(c4ccccc4)c4ccccc42)cc2c1B3c1cc(C(C)(C)C)cc3c4cc(C(C)(C)C)ccc4n-2c13
BNTO.xyz,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)cc3c1n2-c1c2c(c4c(=O)c5cccc6c(=O)c7cccc8c(=O)c1c4n(c78)c65)-n1c4ccc(C(C)(C)C)cc4c4cc(C(C)(C)C)cc(c41)B23
BNTPA.xyz,Cn1c2ccccc2c2cc3c4c(c21)-n1c2ccc(N(c5ccccc5)c5ccccc5)cc2c2cc(N(c5ccccc5)c5ccccc5)cc(c21)B4c1cc(N(c2ccccc2)c2ccccc2)cc2c4cc(N(c5ccccc5)c5ccccc5)ccc4n-3c12
BNTRZ.xyz,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)cc3c1n2-c1cc(-c2ccccc2-c2nc(-c4ccccc4)nc(-c4ccccc4)n2)cc2c1B3c1cc(C(C)(C)C)cc3c4cc(C(C)(C)C)ccc4n-2c13
BO-mMeCz.xyz,Cc1ccc2c3ccc(C)cc3n(-c3cc4c5c(c3)Oc3ccc(C(C)(C)C)cc3B5c3cc(C(C)(C)C)ccc3O4)c2c1
BO-MX-ICz.xyz,CC1(C)c2cccc(-c3cc4c5c(c3)Oc3ccccc3B5c3ccccc3O4)c2Oc2c(-c3cc4c5ccccc5n5c6ccccc6c(c3)c45)cccc21
BO-oMeCz.xyz,Cc1cccc2c3cccc(C)c3n(-c3cc4c5c(c3)Oc3ccc(C(C)(C)C)cc3B5c3cc(C(C)(C)C)ccc3O4)c12
BO-pMeCz.xyz,Cc1ccc2c(c1)c1cc(C)ccc1n2-c1cc2c3c(c1)Oc1ccc(C(C)(C)C)cc1B3c1cc(C(C)(C)C)ccc1O2
BS-CZ.xyz,c1ccc2c(c1)Sc1cc(-c3ccc(-n4c5ccccc5c5ccccc54)cc3)cc3c1B2c1ccccc1S3
BS-N.xyz,c1ccc(N(c2ccccc2)c2ccc(-c3cc4c5c(c3)Sc3ccccc3B5c3ccccc3S4)cc2)cc1
BTC-BN.xyz,CC(C)(C)c1ccc(N(c2ccc(C(C)(C)C)cc2)c2cc3c4c(c2)-n2c5c(cccc5c5ccc6c7ccccc7sc6c52)B4c2cc(C(C)(C)C)ccc2N3c2ccc(C(C)(C)C)cc2)cc1
Bz2cb.xyz,c1ccc(-n2c(-c3ccc(-n4c5ccccc5c5cccnc54)cc3-n3c4ccccc4c4cccnc43)nc3ccccc32)cc1
Bz2cbz.xyz,c1ccc(-n2c(-c3ccc(-n4c5ccccc5c5ccccc54)cc3-n3c4ccccc4c4ccccc43)nc3ccccc32)cc1
C-DABNA-MF.xyz,Cc1cc2c3c(c1)N(c1ccccc1C)c1cc4c(cc1B2c1c(C)cccc1C)B1c2cc5c(cc2N(c2ccccc2C)c2cc(C)cc(c21)N4c1ccccc1C)N(c1ccccc1C)c1cc(C)cc2c1B5c1cc(c(C)cc1N2c1c(C)cccc1C)B3c1c(C)cccc1C
CFDBA.xyz,Cc1cc(C)cc(N(c2cc(C)cc(C)c2)c2cc3c4c(c2)N(c2c(C)cc(C)cc2C)c2cc5c(cc2B4c2ccccc2N3c2cc(C)cc(C)c2)c2cc3c(cc2n5-c2ccccc2)N(c2c(C)cc(C)cc2C)c2cc(N(c4cc(C)cc(C)c4)c4cc(C)cc(C)c4)cc4c2B3c2ccccc2N4c2cc(C)cc(C)c2)c1
